191	0	1.4790574820209727E9
191	3600	1.4264538149002445E9
191	7200	1.3738456762681823E9
191	10800	1.3212330791014168E9
191	14400	1.2686160298485684E9
191	18000	1.2159945383485658E9
191	21600	1.1633686085027542E9
191	25200	1.1107382528120394E9
191	28800	1.058103475731635E9
191	32400	1.005464291111696E9
191	36000	9.528207058881989E8
191	39600	9.00172730741068E8
191	43200	8.475203699190679E8
191	46800	7.948636321357994E8
191	50400	7.422025297470388E8
191	54000	6.895370757653468E8
191	57600	6.368672703144326E8
191	61200	5.841931263141205E8
191	64800	5.315146554297235E8
191	68400	4.788318670095177E8
191	72000	4.2614476116501737E8
191	75600	3.7345336186688083E8
191	79200	3.207576741044727E8
191	82800	2.680577007645815E8
192	0	2.153534552941185E8
192	3600	1.6264497604093865E8
192	7200	1.0993224087919424E8
192	10800	5.721534344641804E7
192	14400	4495839.925171233
192	18000	4.1129012009690605E7
192	21600	9.385824141425547E7
192	25200	1.465917876796648E8
192	28800	1.993295674722642E8
192	32400	2.5207151244896322E8
192	36000	3.048176505448525E8
192	39600	3.575679508629031E8
192	43200	4.103224046146152E8
192	46800	4.6308100602854365E8
192	50400	5.158437297724078E8
192	54000	5.686105797848113E8
192	57600	6.21381538496018E8
192	61200	6.741565967610139E8
192	64800	7.269357477487986E8
192	68400	7.797189682646359E8
192	72000	8.325062578499521E8
192	75600	8.852976047712055E8
192	79200	9.380929954313813E8
192	82800	9.908924202787857E8
